mileage,engine,max_power
13.58,2499.0,72.4
15.96,2523.0,62.1
20.77,1248.0,88.76
18.8,1248.0,90.0
23.0,1396.0,90.0
18.3,1991.0,147.9
25.83,1498.0,99.0
26.59,1248.0,74.0
18.6,1197.0,85.8
17.92,1086.0,62.1
12.99,2494.0,100.6
12.99,2494.0,100.6
28.09,1248.0,88.5
14.3,1598.0,103.5
17.0,1591.0,121.3
24.4,1120.0,71.0
23.0,1396.0,90.0
19.33,1248.0,82.4
19.09,1405.0,69.01
17.6,2179.0,153.86
19.3,1248.0,73.9
24.0,1186.0,73.97
20.51,998.0,67.04
18.9,1197.0,81.86
19.0,998.0,66.1
19.7,796.0,35.0
27.39,1248.0,74.0
19.0,998.0,67.1
17.0,1956.0,167.67
15.96,2523.0,62.1
24.0,1120.0,70.0
22.0,1197.0,81.8
18.9,1197.0,82.0
13.4,1794.0,125.0
12.0,2354.0,187.4
15.96,2523.0,63.0
18.9,1197.0,81.86
25.8,1498.0,98.6
13.5,1799.0,130.0
11.5,2982.0,169.0
11.4,2953.0,153.86
25.83,1498.0,99.0
16.78,1995.0,190.0
20.36,1197.0,78.9
19.7,796.0,46.3
17.3,1497.0,121.0
14.1,2179.0,153.86
14.3,1598.0,103.5
19.09,1405.0,69.01
24.3,1248.0,88.5
13.7,2197.0,138.1
20.0,1399.0,68.0
13.5,2179.0,115.0
17.0,1405.0,71.0
16.1,796.0,37.0
22.32,1582.0,126.32
17.0,1405.0,71.0
22.9,1248.0,74.0
22.54,1396.0,88.73
19.33,1248.0,82.4
18.49,1493.0,100.0
23.4,1248.0,74.0
18.9,1197.0,82.0
21.5,1497.0,108.5
18.6,1199.0,79.4
24.3,1248.0,88.5
17.0,1497.0,118.0
15.37,1196.0,73.0
13.93,2179.0,138.03
19.3,1248.0,73.9
24.3,1248.0,88.5
15.4,1497.0,117.3
21.5,1248.0,88.8
16.0,2179.0,140.0
12.7,2179.0,187.7
20.0,1399.0,68.05
23.9,1582.0,126.2
20.77,1248.0,88.76
25.44,936.0,56.3
16.07,1995.0,181.0
17.92,1086.0,62.1
26.59,1248.0,74.0
14.0,2179.0,120.0
18.9,998.0,67.1
19.3,1248.0,73.9
23.4,1248.0,74.0
15.29,1591.0,121.3
16.95,1498.0,97.7
27.3,1498.0,98.6
22.0,1498.0,108.495
14.0,2523.0,75.0
20.63,1198.0,67.0
12.8,2494.0,102.0
26.21,1248.0,88.5
16.78,1995.0,190.0
12.99,2494.0,100.6
18.6,1197.0,81.83
18.9,1061.0,67.0
16.0,2179.0,140.0
19.33,1248.0,82.4
15.04,1598.0,103.6
17.0,1497.0,118.0
22.7,799.0,53.64
20.77,1248.0,88.76
18.2,1199.0,88.7
15.4,2523.0,75.0
19.33,1248.0,82.4
12.99,2494.0,100.6
20.36,1197.0,78.9
18.0,1969.0,190.0
20.0,999.0,72.0
20.77,1248.0,88.76
12.0,2354.0,187.4
28.4,1248.0,74.02
15.96,2523.0,62.1
12.8,1995.0,52.0
17.5,1199.0,88.7
20.0,999.0,71.0
17.3,993.0,60.0
22.0,1197.0,81.8
22.5,999.0,67.0
20.51,998.0,67.04
12.9,1598.0,102.5
28.4,1248.0,74.02
15.8,2148.0,170.0
20.0,1399.0,68.1
14.49,2993.0,258.0
15.4,2523.0,75.0
12.8,2494.0,102.0
18.2,1199.0,88.7
26.21,1248.0,88.5
24.4,1120.0,71.0
20.63,1198.0,67.0
15.37,1196.0,73.0
15.1,2179.0,140.0
19.4,1198.0,86.8
24.0,1186.0,73.97
20.63,1198.0,67.0
13.6,1999.0,177.0
13.6,2523.0,63.0
21.1,814.0,55.2
18.0,995.0,62.0
19.3,1248.0,73.9
12.8,2494.0,102.0
22.0,1197.0,81.8
16.3,1797.0,147.5
19.01,1462.0,103.2
22.9,1248.0,74.0
24.0,1396.0,88.76
23.84,1199.0,84.0
22.54,1396.0,88.73
14.74,1991.0,181.04
20.54,1598.0,103.6
20.4,1248.0,91.7
23.2,1248.0,73.94
18.5,796.0,53.0
19.7,796.0,35.0
20.36,1197.0,78.9
18.2,1199.0,88.7
17.7,1399.0,68.0
16.02,1373.0,93.7
22.1,1248.0,76.9
18.6,1197.0,81.83
24.5,1498.0,98.6
18.5,1197.0,82.85
16.8,1497.0,116.3
12.8,2494.0,102.0
25.44,936.0,57.6
25.0,1396.0,69.0
20.36,1197.0,78.9
19.33,1248.0,82.4
23.2,1248.0,73.94
18.9,1197.0,82.0
19.33,1248.0,82.4
25.44,936.0,57.6
16.8,796.0,34.2
17.3,1998.0,163.7
28.09,1248.0,88.5
13.58,2499.0,72.4
20.0,1399.0,68.0
22.77,1498.0,98.59
13.1,2499.0,141.0
28.4,1248.0,74.02
18.6,1197.0,85.8
13.44,2359.0,198.25
21.21,1197.0,81.8
17.57,1193.0,88.7
19.81,1086.0,68.05
12.05,2179.0,120.0
18.49,1493.0,100.0
16.1,796.0,37.0
21.21,1197.0,81.8
22.9,1248.0,74.0
21.4,1197.0,83.1
19.0,1199.0,88.76
20.54,1598.0,103.6
18.7,1896.0,66.0
17.7,1497.0,78.0
17.0,1198.0,108.5
17.0,1405.0,70.0
17.0,1198.0,108.5
18.16,1196.0,86.8
16.0,2179.0,140.0
19.33,1999.0,177.0
17.0,1497.0,118.0
22.54,1396.0,88.73
17.0,1197.0,110.0
19.81,1086.0,68.05
16.47,1198.0,73.9
17.5,1298.0,85.8
20.36,1197.0,78.9
21.9,1396.0,88.76
16.05,1499.0,110.4
13.9,1599.0,103.2
17.9,2143.0,170.0
23.95,998.0,67.05
19.33,1248.0,82.4
25.0,1396.0,69.01
10.5,2179.0,120.0
24.0,1120.0,70.0
17.92,1086.0,62.1
11.57,2179.0,138.1
11.57,2179.0,138.1
22.37,2487.0,214.56
21.1,814.0,55.2
22.9,1248.0,74.0
15.1,2179.0,140.0
20.5,1248.0,91.7
15.96,2523.0,62.1
21.1,814.0,55.2
11.57,2179.0,138.1
20.63,1198.0,67.0
24.0,1186.0,73.97
21.1,1248.0,73.9
27.3,1498.0,98.6
12.4,1999.0,147.9
17.8,1497.0,117.3
21.1,814.0,55.2
20.52,1197.0,81.8
22.0,1197.0,81.8
22.37,2487.0,214.56
18.9,1061.0,67.0
18.9,1197.0,82.0
17.1,1956.0,170.0
19.33,1248.0,82.4
16.2,995.0,62.1
18.0,1969.0,190.0
19.81,1086.0,68.05
18.9,998.0,67.1
20.36,1197.0,78.9
24.5,1498.0,98.6
17.19,1197.0,81.86
14.0,2498.0,112.0
27.39,1248.0,74.0
28.4,1248.0,74.02
19.4,1194.0,94.93
22.74,796.0,47.3
20.92,998.0,67.1
21.4,1197.0,83.1
12.99,2494.0,100.0
21.9,1396.0,90.0
13.6,2523.0,63.0
17.57,1193.0,88.7
13.68,2393.0,147.8
24.0,1186.0,73.97
12.99,2494.0,100.6
19.5,1199.0,88.76
23.84,1199.0,84.0
15.4,2523.0,75.0
16.1,796.0,37.0
21.64,1461.0,84.8
19.16,2494.0,157.7
19.09,1405.0,69.01
20.14,1197.0,81.86
14.8,2499.0,80.0
20.77,1248.0,88.8
14.7,1150.0,76.0
15.9,1496.0,120.69
14.0,2489.0,95.0
25.83,1498.0,99.0
20.77,1248.0,88.76
19.09,1396.0,69.0
19.7,796.0,46.3
18.6,1197.0,81.83
14.8,1998.0,68.0
19.33,1999.0,177.0
21.1,814.0,55.2
17.57,1193.0,88.7
21.02,1248.0,88.76
14.0,2498.0,112.0
17.92,1086.0,62.1
22.32,1582.0,126.32
22.95,1248.0,74.0
25.6,1498.0,97.9
18.6,1199.0,79.4
18.2,1248.0,73.8
22.32,1582.0,126.32
18.3,1991.0,147.9
13.68,2393.0,147.8
21.01,1197.0,81.8
18.9,1197.0,82.0
16.8,1493.0,110.0
12.8,2494.0,102.0
16.2,1493.0,110.0
21.21,1498.0,103.2
19.33,1248.0,82.4
18.6,1197.0,81.86
20.36,1197.0,78.9
12.99,2494.0,100.6
28.09,1248.0,88.5
16.1,796.0,37.0
23.95,998.0,67.05
14.23,1498.0,104.55
25.17,799.0,53.3
21.1,814.0,55.2
18.9,1061.0,67.0
23.95,998.0,67.05
14.1,2179.0,147.94
22.95,1248.0,74.0
19.7,796.0,46.3
11.5,1991.0,147.9
16.0,995.0,63.0
19.01,1461.0,108.5
21.79,998.0,67.05
19.09,1396.0,69.0
20.36,1197.0,78.9
19.81,1086.0,68.05
21.4,1197.0,83.1
16.78,1496.0,88.73
13.1,1493.0,82.0
18.2,1199.0,82.5
16.7,1198.0,88.8
22.74,796.0,47.3
18.06,2523.0,63.0
18.16,1196.0,86.8
17.2,1968.0,138.1
25.01,1498.0,89.75
20.3,998.0,68.05
13.44,2359.0,198.25
25.4,624.0,37.5
16.36,1495.0,93.7
18.2,1199.0,84.8
15.96,2523.0,62.1
16.8,796.0,34.2
24.0,1120.0,70.0
14.8,2143.0,120.7
25.01,1498.0,89.75
13.68,2393.0,147.8
22.32,1582.0,126.32
15.2,1193.0,65.0
21.21,1197.0,81.8
25.4,624.0,37.48
12.99,2494.0,100.0
18.4,1248.0,75.0
20.3,998.0,68.05
15.1,2179.0,152.87
19.7,796.0,46.3
16.1,796.0,37.0
18.15,1198.0,82.0
22.77,1498.0,98.59
25.5,1498.0,98.6
23.4,1248.0,74.0
13.5,2477.0,178.0
13.9,1599.0,103.2
15.3,2956.0,83.83
20.89,1197.0,81.8
23.0,1498.0,98.96
23.0,1498.0,98.96
18.0,1969.0,190.0
15.1,2179.0,140.0
18.6,1197.0,81.83
18.5,1197.0,85.8
22.74,796.0,47.3
12.05,2179.0,120.0
22.32,1582.0,126.32
19.0,998.0,67.1
19.1,1197.0,85.8
23.57,1396.0,70.0
15.4,2179.0,120.0
14.9,1991.0,112.2
19.16,2494.0,157.7
21.63,998.0,67.04
28.4,1248.0,74.02
22.54,1396.0,88.73
13.44,2359.0,198.25
24.52,1248.0,88.5
18.5,1198.0,86.8
16.1,796.0,37.0
21.21,1197.0,81.8
21.7,1498.0,98.96
22.54,1396.0,88.73
18.0,995.0,62.0
19.33,1248.0,82.4
19.7,796.0,46.3
19.0,998.0,66.1
22.74,796.0,47.3
21.03,1461.0,65.0
18.5,1197.0,80.0
15.0,1991.0,194.4
18.7,1896.0,66.0
15.1,2179.0,140.0
14.0,2498.0,112.0
16.1,1197.0,85.0
22.0,1197.0,81.8
24.0,1186.0,73.97
16.78,1995.0,190.0
25.17,799.0,53.3
24.4,1120.0,71.0
21.1,814.0,55.2
17.0,1405.0,70.0
22.32,1582.0,126.32
15.1,2179.0,140.0
17.0,1197.0,108.6
22.0,999.0,67.0
26.59,1248.0,74.0
20.77,1248.0,88.76
18.2,1248.0,73.8
28.09,1248.0,88.5
21.38,1396.0,88.7
19.1,1405.0,70.0
24.3,1248.0,88.5
13.6,2523.0,63.0
20.4,1197.0,81.8
15.1,2179.0,152.87
21.21,1197.0,81.8
19.09,1396.0,69.0
23.1,998.0,67.04
21.9,1498.0,98.6
19.0,1248.0,90.0
14.3,1598.0,103.5
14.09,1596.0,99.6
19.16,2494.0,157.7
24.3,1248.0,88.5
23.59,1364.0,67.04
20.77,1248.0,88.76
11.5,2982.0,171.0
22.74,796.0,47.3
17.8,1086.0,63.0
21.1,1248.0,73.9
20.51,998.0,67.04
20.3,1086.0,68.0
25.8,1498.0,98.6
18.0,995.0,62.0
21.21,1197.0,81.8
14.0,2179.0,138.1
14.1,2179.0,147.94
16.07,1995.0,181.0
12.05,2179.0,120.0
19.33,1999.0,177.0
22.0,1197.0,81.8
25.0,1396.0,69.01
24.7,796.0,47.3
18.9,1197.0,82.0
22.74,796.0,47.3
25.4,1186.0,73.97
12.99,2494.0,100.6
15.0,1586.0,104.68
17.0,1497.0,121.36
23.2,1248.0,73.94
17.5,1199.0,88.7
16.0,1368.0,160.0
16.78,1995.0,190.0
12.0,1493.0,100.0
24.7,796.0,47.3
16.47,1198.0,73.9
22.77,1498.0,98.59
18.4,1248.0,75.0
18.9,1197.0,82.0
19.7,796.0,46.3
15.4,2179.0,120.0
22.0,1197.0,81.8
24.3,1248.0,88.5
20.2,998.0,67.1
17.19,1197.0,81.86
18.7,1199.0,88.7
19.4,1405.0,70.0
19.7,796.0,46.3
22.1,1248.0,76.9
19.81,1086.0,68.05
12.55,2982.0,168.5
20.8,1527.0,58.0
22.7,1498.0,89.84
19.3,1248.0,73.9
19.33,1248.0,82.4
12.99,2494.0,100.6
25.01,1498.0,89.75
21.7,998.0,67.0
14.0,2489.0,95.0
18.9,1197.0,81.86
19.3,1248.0,73.9
23.95,998.0,67.05
10.5,2179.0,120.0
18.6,1199.0,79.4
15.4,1497.0,117.3
18.49,1493.0,100.0
17.4,1197.0,81.86
23.4,1248.0,74.0
22.0,1197.0,81.8
19.33,1248.0,82.4
19.1,1197.0,85.8
11.36,2755.0,171.5
28.4,1248.0,74.02
18.9,1197.0,82.0
20.5,1598.0,105.0
25.2,1248.0,74.0
18.9,998.0,67.1
25.1,1498.0,98.6
24.0,1186.0,73.97
16.1,1197.0,85.0
28.4,1248.0,74.02
15.4,1997.0,120.0
25.17,799.0,53.3
15.1,2179.0,140.0
20.45,1461.0,83.8
19.33,1248.0,0.0
19.81,1086.0,68.05
18.5,1197.0,82.85
18.6,1197.0,81.83
19.7,1598.0,103.6
17.0,1198.0,108.5
13.93,2179.0,138.1
21.1,814.0,55.2
25.17,799.0,53.3
13.0,2489.0,95.0
18.9,1197.0,82.0
17.5,1199.0,88.7
23.4,1248.0,74.0
18.49,1493.0,100.0
20.77,1248.0,88.76
18.2,1061.0,64.0
28.09,1248.0,88.5
24.7,796.0,47.3
15.1,2179.0,140.0
13.1,1795.0,127.0
20.89,1197.0,81.8
17.01,1591.0,121.3
19.33,1248.0,82.4
13.6,2523.0,63.0
19.7,796.0,46.3
16.78,1995.0,190.0
13.5,1799.0,130.0
20.14,1197.0,81.86
12.99,2494.0,100.6
26.59,1248.0,74.0
13.8,1399.0,68.0
13.1,1781.0,149.5
18.0,1497.0,117.6
25.44,936.0,57.6
12.05,2179.0,120.0
13.58,2499.0,72.4
15.5,1799.0,132.0
16.5,1499.0,110.0
15.1,2179.0,140.0
21.5,1498.0,108.5
16.78,1995.0,190.0
22.0,1197.0,81.8
19.1,1197.0,82.0
21.01,1197.0,81.8
17.4,1197.0,81.86
17.7,1497.0,78.0
26.0,624.0,35.0
19.33,1248.0,82.4
20.0,1399.0,68.0
13.68,2393.0,147.8
24.3,1248.0,88.5
22.32,1582.0,126.32
17.4,1497.0,117.6
24.52,1248.0,88.5
14.3,1598.0,103.5
23.95,998.0,67.05
22.0,1197.0,81.8
18.9,998.0,67.1
20.92,998.0,67.1
20.63,1198.0,67.0
19.3,1248.0,73.9
19.33,1248.0,82.4
21.1,1248.0,73.9
12.05,2179.0,120.0
22.32,1582.0,126.32
23.0,1396.0,90.0
24.0,1186.0,73.97
18.5,1198.0,86.8
28.09,1248.0,88.5
18.2,1199.0,88.7
16.95,1498.0,97.7
19.33,1999.0,177.0
25.1,1248.0,88.5
12.99,2494.0,100.6
25.6,1498.0,97.9
15.37,1196.0,73.0
23.03,1396.0,69.0
22.7,1582.0,126.24
21.79,998.0,67.05
14.2,1597.0,92.0
15.1,2179.0,140.0
19.7,796.0,46.3
18.6,1197.0,81.83
23.03,1396.0,69.0
16.55,2498.0,105.0
19.7,796.0,46.3
23.01,999.0,67.0
15.37,1196.0,73.0
20.5,1598.0,103.5
16.8,1984.0,150.0
12.83,2696.0,162.0
19.33,1248.0,82.4
11.57,2179.0,138.1
21.7,1498.0,98.96
15.37,1196.0,73.0
23.57,1396.0,70.0
15.96,2523.0,62.1
19.33,1248.0,82.4
22.32,1582.0,126.32
18.0,1969.0,190.0
19.67,1582.0,126.2
25.0,1396.0,69.01
13.93,2179.0,138.0
18.06,1198.0,75.0
22.74,796.0,47.3
21.1,814.0,55.2
19.33,1248.0,82.4
18.0,1969.0,190.0
12.99,2494.0,100.6
22.0,1197.0,81.8
21.9,1396.0,88.76
21.1,814.0,55.2
20.51,998.0,67.04
20.51,998.0,67.0
15.29,1591.0,121.3
18.9,1197.0,82.0
28.09,1248.0,88.5
17.0,1405.0,71.0
23.01,999.0,67.0
19.0,998.0,66.1
17.0,1197.0,80.0
20.92,998.0,67.1
18.2,1199.0,88.7
20.14,1197.0,81.86
28.4,1248.0,74.02
25.2,1248.0,74.0
17.7,1497.0,78.0
21.5,1497.0,108.5
22.54,1396.0,88.73
17.01,1591.0,121.3
16.0,995.0,63.0
24.5,1498.0,98.6
13.58,2499.0,72.4
17.7,1497.0,113.42
18.6,1197.0,81.83
21.1,814.0,55.2
20.52,1197.0,81.8
18.0,1969.0,190.0
18.9,998.0,67.1
25.5,1498.0,98.6
18.6,1197.0,81.83
19.0,1199.0,88.76
12.2,1994.0,105.3
18.9,1197.0,81.86
28.09,1248.0,88.5
22.95,1248.0,74.0
24.3,1248.0,88.5
19.01,1461.0,108.45
15.4,2179.0,120.0
20.77,1248.0,88.76
14.0,2498.0,112.0
16.8,1405.0,62.0
24.52,1248.0,88.5
12.05,2179.0,120.0
18.6,1197.0,85.8
18.6,1197.0,85.8
19.01,1461.0,108.5
23.4,1248.0,74.0
22.3,1248.0,74.0
23.95,998.0,67.05
20.3,1086.0,68.0
21.64,1461.0,84.8
19.7,796.0,46.3
18.2,1199.0,88.7
18.15,1198.0,82.0
18.9,1197.0,82.0
15.0,1368.0,90.0
22.0,1197.0,81.8
12.99,2494.0,100.0
16.1,796.0,37.0
19.33,1248.0,82.4
19.0,1197.0,85.8
17.09,2993.0,261.4
13.93,2179.0,138.03
12.05,2179.0,120.0
11.79,2179.0,120.0
24.4,1120.0,71.0
25.47,1248.0,88.5
24.3,1248.0,88.5
20.0,999.0,72.0
12.9,1598.0,102.5
12.8,2494.0,102.0
16.8,1984.0,150.0
24.3,1248.0,88.5
17.5,1197.0,85.8
22.32,1582.0,126.3
20.36,1197.0,78.9
20.07,1461.0,75.0
19.16,2494.0,157.7
15.3,1596.0,99.6
21.4,1197.0,83.1
13.93,2179.0,138.1
20.3,1086.0,68.0
22.9,1248.0,74.0
22.37,2487.0,214.56
19.09,1396.0,69.0
23.2,1248.0,73.94
21.4,1197.0,83.1
19.1,1197.0,82.0
28.09,1248.0,88.5
15.6,1196.0,70.0
14.0,796.0,37.5
17.0,1497.0,121.31
19.0,998.0,66.1
11.5,2982.0,171.0
18.6,1388.0,67.0
19.81,1086.0,68.05
23.4,1248.0,74.0
12.99,2494.0,100.6
18.5,1198.0,86.8
11.5,2982.0,171.0
20.0,1399.0,68.1
15.4,1997.0,120.0
20.54,1598.0,103.6
20.0,1399.0,68.0
21.4,1197.0,83.1
20.85,1197.0,83.14
18.2,1248.0,73.74
24.3,1248.0,88.5
19.7,796.0,46.3
19.33,1248.0,82.4
18.0,995.0,62.0
25.2,1248.0,74.0
25.8,1498.0,98.6
16.2,1199.0,74.0
15.3,1341.0,83.0
18.6,1197.0,81.83
17.4,1497.0,117.6
12.2,1948.0,68.0
23.65,1248.0,88.5
23.1,998.0,67.04
21.2,1248.0,75.0
23.84,1199.0,84.0
24.3,1248.0,88.5
22.74,796.0,47.3
12.99,2494.0,100.6
25.17,799.0,53.3
18.16,1196.0,86.8
22.0,1197.0,81.8
19.7,796.0,46.3
15.4,2179.0,120.0
20.77,1248.0,88.8
21.66,1498.0,108.62
21.79,998.0,67.05
16.78,1995.0,190.0
15.42,1405.0,70.0
17.57,1193.0,88.7
18.9,1197.0,82.0
16.1,1298.0,88.2
19.7,796.0,46.3
23.01,999.0,67.0
19.01,1461.0,108.45
16.1,796.0,37.0
17.0,1197.0,80.0
23.59,1364.0,67.1
21.21,1197.0,81.8
20.51,998.0,67.04
22.74,796.0,47.3
25.6,1498.0,97.9
17.4,1599.0,104.0
18.2,1199.0,88.7
16.8,1405.0,62.0
18.2,1199.0,88.7
19.7,796.0,46.3
21.79,998.0,67.05
21.1,814.0,55.2
12.6,1586.0,103.3
23.95,998.0,67.05
20.0,1399.0,68.05
15.1,2179.0,152.87
27.4,1498.0,98.63
27.39,1248.0,74.0
24.52,1248.0,88.5
12.2,1948.0,68.0
22.0,1582.0,126.2
19.33,1248.0,82.4
25.44,936.0,56.3
16.78,1995.0,190.0
15.3,2956.0,83.83
23.59,1364.0,67.05
25.17,799.0,53.3
18.0,1497.0,117.3
25.2,1248.0,74.0
18.5,1197.0,82.85
22.54,1396.0,88.73
15.3,1341.0,83.0
20.52,1197.0,81.8
16.8,1984.0,150.0
21.4,1197.0,83.1
20.36,1197.0,78.9
11.79,2179.0,120.0
18.6,1199.0,79.4
13.5,2987.0,254.79
23.4,1248.0,74.0
24.3,1248.0,88.5
21.64,1461.0,84.8
16.8,1497.0,118.0
21.01,1197.0,81.8
26.21,1248.0,88.5
22.32,1582.0,126.32
20.51,998.0,67.04
18.2,1248.0,73.74
18.2,1061.0,64.0
22.0,1197.0,81.8
19.33,1248.0,82.4
13.2,1495.0,94.0
18.5,1197.0,82.85
18.6,1197.0,81.83
12.55,2982.0,168.7
26.0,624.0,35.0
20.0,1399.0,68.0
26.59,1248.0,74.0
17.0,1405.0,70.0
19.01,1461.0,108.45
27.3,1498.0,98.6
20.0,1399.0,68.0
17.8,1399.0,67.0
13.9,1599.0,103.2
13.1,2499.0,141.0
17.21,1493.0,100.0
22.0,1197.0,81.8
19.0,998.0,66.1
13.49,2179.0,138.03
11.79,2179.0,120.0
11.36,2755.0,171.5
17.0,1197.0,81.86
23.5,1498.0,88.7
17.8,1248.0,75.0
27.39,1248.0,74.0
16.0,2179.0,140.0
15.05,2179.0,147.9
22.37,2487.0,214.56
13.1,2499.0,141.0
16.47,1198.0,73.9
15.96,2523.0,62.1
17.8,1248.0,75.0
23.2,1248.0,73.94
15.04,2755.0,174.5
22.5,999.0,67.0
20.3,1199.0,84.0
23.2,1248.0,73.94
14.0,2498.0,112.0
15.1,2179.0,140.0
17.8,1198.0,86.7
23.0,1396.0,90.0
19.67,1582.0,126.2
25.44,936.0,57.6
25.17,799.0,53.3
15.4,1997.0,120.0
25.0,1396.0,69.0
14.0,2498.0,112.0
19.33,1248.0,82.4
16.95,1197.0,78.9
22.07,1199.0,73.9
25.8,1498.0,98.6
17.2,1396.0,53.5
15.3,1341.0,83.0
19.7,796.0,46.3
16.8,1984.0,150.0
22.0,1197.0,81.8
21.19,1396.0,88.73
15.8,1499.0,110.0
17.19,1197.0,81.86
11.36,2755.0,171.5
19.7,796.0,46.3
17.0,1461.0,66.0
17.88,1405.0,48.21
23.4,1248.0,74.0
21.43,1364.0,87.2
14.1,2179.0,147.94
15.4,1997.0,120.0
16.78,1995.0,190.0
20.36,1197.0,78.9
18.6,1197.0,81.83
18.9,1197.0,81.86
21.04,1461.0,83.8
16.0,2179.0,140.0
19.5,1199.0,88.76
14.1,2179.0,147.94
19.81,1086.0,68.05
20.51,998.0,67.04
12.8,2494.0,102.0
26.0,1498.0,98.6
21.4,1197.0,83.1
26.59,1248.0,74.0
21.4,1197.0,83.1
26.0,1498.0,98.6
14.3,1598.0,103.5
22.74,796.0,47.3
19.0,1405.0,71.0
18.6,1197.0,81.83
12.8,2494.0,102.0
17.88,1396.0,52.8
21.63,998.0,67.0
23.9,1582.0,126.32
21.1,1248.0,73.9
17.6,1496.0,88.73
17.57,1193.0,88.7
17.1,1956.0,170.0
22.9,1248.0,74.0
16.6,1896.0,122.4
18.8,1248.0,90.0
19.81,1086.0,68.05
17.8,1497.0,117.3
18.9,1197.0,82.0
20.51,998.0,67.04
15.4,2179.0,120.0
16.1,796.0,37.0
18.9,1197.0,82.0
23.57,1396.0,70.0
19.1,1197.0,85.8
20.51,998.0,67.04
15.37,1196.0,73.0
24.0,1186.0,73.97
17.2,1197.0,103.6
24.7,1047.0,69.0
20.3,1199.0,84.0
25.4,1186.0,73.97
13.7,1997.0,153.86
13.6,2523.0,63.0
19.3,1248.0,73.9
15.7,1390.0,75.0
